ENVIRONMENTAL PROTECTION DEPARTMENT,,,,,,,,,,,,,,,
"HONG KONG SPECIAL ADMINISTRATIVE REGION, CHINA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hourly API (1 July 1999 - 31 July 1999),,,,,,,,,,,,,,,
Note: 1. The EPD has been reporting API for individual stations on an hourly basis since 1 July 1999.,,,,,,,,,,,,,,,
           2. Empty cells mean that API data are not available for that period.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Roadside API,,,General API,,,,,,,,,,
Date,Hour,Causeway Bay,Central,Mong Kok,Central/Western,Eastern,Kwai Chung,Kwun Tong,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
01/07/1999,0,67,44,31,14,13,29,32,19,21,21,10,21,14,20
,1,67,43,31,14,13,29,32,19,21,21,9,21,15,20
,2,67,43,31,14,13,30,32,19,21,21,9,21,13,20
,3,67,42,31,14,13,30,32,19,21,20,9,21,11,20
,4,67,43,31,14,12,29,32,19,20,20,9,21,11,20
,5,67,44,31,14,12,29,32,19,20,20,9,21,12,20
,6,68,44,31,14,12,30,32,20,20,21,9,22,11,20
,7,67,43,30,13,12,29,31,19,20,22,9,21,13,20
,8,67,41,30,13,12,27,31,19,19,21,9,21,13,20
,9,67,38,30,12,12,26,30,20,19,20,10,20,13,20
,10,67,36,30,12,12,25,30,19,18,21,12,20,15,20
,11,67,35,29,12,12,25,30,19,17,21,15,20,13,19
,12,67,35,29,12,12,24,30,18,17,21,13,20,13,20
,13,66,35,28,11,13,24,29,18,17,22,17,19,13,19
,14,66,36,28,12,13,23,29,16,16,21,19,20,18,18
,15,67,37,27,12,13,22,28,16,15,22,16,20,18,18
,16,67,38,27,12,14,22,29,16,15,22,19,20,17,18
,17,66,37,27,14,14,21,29,16,14,22,16,19,15,18
,18,66,36,27,12,14,21,28,16,14,22,16,19,12,18
,19,66,36,27,12,14,21,28,16,14,22,15,19,12,18
,20,66,36,27,12,14,21,28,16,14,23,12,19,10,18
,21,66,36,27,12,14,21,28,16,14,23,10,19,9,18
,22,66,36,27,12,14,21,28,17,14,23,11,18,11,18
,23,66,35,27,12,14,20,28,17,14,23,10,19,11,18
02/07/1999,0,65,35,27,12,14,20,27,17,14,23,10,19,10,18
,1,65,35,27,12,14,20,27,17,13,23,10,19,10,19
,2,65,35,27,13,14,19,27,16,13,23,10,19,10,19
,3,65,36,,12,14,19,27,16,13,23,10,19,10,18
,4,65,36,27,12,14,19,27,16,13,23,10,19,11,18
,5,65,35,27,12,15,19,27,16,14,23,10,19,10,19
,6,65,36,27,12,15,19,27,16,14,23,10,19,10,19
,7,65,36,28,13,15,19,28,16,14,24,11,19,11,19
,8,66,37,28,15,16,20,28,16,14,24,11,19,11,20
,9,66,39,29,14,16,21,28,17,15,24,11,19,11,19
,10,66,41,30,14,17,21,29,17,15,24,15,20,12,19
,11,65,43,30,14,17,21,29,17,16,25,17,20,12,20
,12,65,43,31,14,17,22,29,17,16,25,18,20,14,19
,13,66,44,31,16,15,23,30,17,17,25,21,21,16,20
,15,64,43,32,15,16,23,31,17,18,24,18,20,14,20
,16,63,44,32,15,15,23,31,17,19,24,18,20,13,21
,17,63,44,32,15,15,23,30,17,19,24,15,21,13,21
,18,63,45,32,16,15,24,30,17,19,24,12,21,14,21
,19,64,46,32,16,15,24,30,17,20,25,11,21,13,21
,20,64,46,32,16,15,24,30,17,20,24,11,21,12,21
,21,64,45,33,16,15,24,30,17,20,24,12,21,13,21
,22,65,46,33,16,15,24,30,17,20,,11,21,15,21
,23,64,46,33,16,15,25,31,17,20,,15,21,16,21
03/07/1999,0,64,46,33,16,15,25,31,17,20,,15,21,15,21
,1,65,46,33,16,15,25,30,16,20,,11,21,13,21
,2,65,46,33,16,15,25,30,16,20,,11,22,13,20
,3,65,46,33,16,16,25,31,16,20,,11,22,12,20
,4,65,46,33,17,16,25,32,16,20,,11,21,12,20
,5,66,46,33,18,16,25,32,16,20,,11,21,12,20
,6,66,46,33,18,15,25,32,16,21,,11,21,12,20
,7,67,47,34,18,16,25,32,16,21,,10,21,12,21
,8,67,48,34,18,15,26,32,16,22,,12,22,12,21
,9,68,47,34,18,15,28,29,16,23,,13,21,16,21
,10,69,45,34,18,18,28,31,17,23,23,18,21,18,20
,11,70,45,34,18,18,29,31,17,23,22,17,21,16,21
,12,70,44,34,18,18,29,30,17,23,22,15,21,16,20
,13,70,45,34,18,18,29,30,17,23,22,14,22,16,20
,14,71,45,34,18,17,29,30,18,22,23,15,22,17,21
,15,71,45,34,18,17,29,30,18,22,23,17,23,15,21
,16,72,45,34,18,19,30,30,18,22,23,18,23,10,21
,17,72,45,34,18,18,30,29,18,21,23,15,23,15,21
,18,72,46,34,17,19,30,30,18,21,23,12,24,15,
,19,71,46,34,17,19,30,29,18,21,23,11,24,10,
,20,71,47,34,17,19,30,30,18,21,23,9,24,11,
,21,71,47,34,18,19,30,30,18,21,22,9,25,11,
,22,70,48,34,18,20,30,31,18,21,22,9,24,10,
,23,70,49,34,18,20,30,31,18,21,22,9,24,10,
04/07/1999,0,70,50,35,19,20,30,31,19,21,23,9,24,10,
,1,70,51,36,20,21,31,32,19,23,23,9,24,10,
,2,71,52,36,21,20,31,33,19,24,24,9,23,10,
,3,71,52,37,22,20,31,33,19,24,24,10,24,10,
,4,71,52,37,22,20,31,33,20,24,25,10,24,10,
,5,70,52,37,22,20,31,33,20,24,26,10,24,10,
,6,70,52,36,22,20,31,33,20,24,25,10,24,9,
,7,69,51,36,22,20,32,33,20,23,25,10,23,,
,8,67,50,35,21,20,31,33,20,22,25,14,22,,
,9,66,50,34,22,19,31,33,20,21,25,15,23,,
,10,66,49,34,22,16,31,33,20,21,25,15,23,,
,11,65,49,33,23,16,32,33,20,21,25,16,23,,
,12,65,49,34,23,17,33,33,20,21,25,,22,,
,13,66,48,34,23,17,31,33,20,21,25,19,23,,
,14,66,47,34,24,17,31,33,20,21,25,19,23,,18
,15,66,46,34,24,17,30,33,20,21,25,19,23,,18
,16,65,45,34,24,15,30,34,20,22,25,16,23,,18
,17,65,44,34,24,15,,33,20,22,25,16,23,,17
,18,64,43,34,24,15,,33,20,22,25,14,23,,17
,19,63,42,34,25,15,,34,20,23,24,9,23,,17
,20,62,42,34,25,15,,34,21,23,24,9,23,,17
,21,62,41,35,26,15,,34,21,24,24,12,23,,17
,22,63,40,34,26,14,,33,21,24,24,12,23,,17
,23,63,39,34,25,14,,33,20,23,24,10,23,,18
05/07/1999,0,62,37,33,25,14,,33,20,22,23,9,23,,18
,1,62,35,32,24,14,,33,21,21,23,9,24,,18
,2,60,33,32,23,14,,32,21,21,22,9,25,,18
,3,60,33,32,22,13,,32,21,21,22,9,25,,17
,4,60,33,32,21,13,,31,21,21,22,8,24,,17
,5,60,33,32,21,13,,31,21,21,22,8,24,,17
,6,60,33,31,21,13,,31,21,21,23,8,26,,18
,7,61,34,31,21,14,,31,21,21,22,12,28,,18
,8,61,36,31,21,14,,31,21,21,22,14,28,,18
,9,61,37,32,21,15,,32,21,21,22,12,28,,18
